,Unnamed: 0.1,Unnamed: 0,DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
0,0,28884,2021-07-19 20:00:00,2.5,4950.1090008012,99,20.6,86,924,2.6,-125.0,-315.0
1,1,28885,2021-07-19 20:15:00,2.6,4935.6841099162,101,20.1,87,924,2.5,-129.0,-315.0
2,2,28886,2021-07-19 20:30:00,2.7,4939.5596714308,103,19.8,88,924,2.6,-127.0,-315.0
3,3,28887,2021-07-19 20:45:00,2.8,4945.7074811346,107,19.6,88,924,2.9,-75.0,-315.0
4,4,28888,2021-07-19 21:00:00,2.8,4947.4976766367,108,19.3,89,924,3.2,-57.0,-270.0
5,5,28889,2021-07-19 21:15:00,2.9,4949.9702715154,110,19.2,89,924,3.0,-85.0,-315.0
6,6,28890,2021-07-19 21:30:00,2.8,4935.2056453442,111,19.3,89,924,2.7,-145.0,-315.0
7,7,28891,2021-07-19 21:45:00,2.7,4939.9098962003,112,19.3,88,924,2.4,-119.0,-315.0
8,8,28892,2021-07-19 22:00:00,2.6,4948.2367758495,113,19.4,88,924,2.5,-150.0,-315.0
9,9,28893,2021-07-19 22:15:00,2.4,4952.3270900192,114,19.4,88,924,2.5,-139.0,-315.0
10,10,28894,2021-07-19 22:30:00,2.3,4952.6535713221,119,19.5,88,924,2.5,-134.0,-315.0
11,11,28895,2021-07-19 22:45:00,2.2,4940.4359682024,124,19.5,88,925,2.6,-136.0,-315.0
12,12,28896,2021-07-19 23:00:00,2.1,4949.7583037352,129,19.6,88,925,3.1,-139.0,-315.0
13,13,28897,2021-07-19 23:15:00,2.0,4951.3418612382,135,19.6,88,925,2.7,-125.0,-270.0
14,14,28898,2021-07-19 23:30:00,2.0,4935.9482538526,139,19.5,89,925,2.7,-137.0,-270.0
15,15,28899,2021-07-19 23:45:00,1.9,4948.4670141332,145,19.4,89,925,2.8,-142.0,-270.0
16,16,28900,2021-07-20 00:00:00,3.4,4950.0888802903,203,18.0,95,925,2.7,-134.0,-270.0
17,17,28901,2021-07-20 00:15:00,3.2,4939.2406076683,208,17.9,95,925,3.0,-150.0,-270.0
18,18,28902,2021-07-20 00:30:00,2.9,4946.4238366796,214,17.8,95,925,3.3,22.0,-90.0
19,19,28903,2021-07-20 00:45:00,2.6,4936.2972879593,220,17.7,96,925,3.3,-4.0,-270.0
20,20,28904,2021-07-20 01:00:00,2.4,4943.8908043145,228,17.6,96,925,3.0,-133.0,-270.0
21,21,28905,2021-07-20 01:15:00,2.2,4945.5173560268,234,17.6,96,925,2.8,-131.0,-270.0
22,22,28906,2021-07-20 01:30:00,1.9,4939.0302948287,231,17.5,96,925,2.7,-147.0,-270.0
23,23,28907,2021-07-20 01:45:00,1.6,4941.9199939675,230,17.4,97,926,2.8,-128.0,-270.0
24,24,28908,2021-07-20 02:00:00,1.3,4941.4145472015,225,17.3,97,926,2.7,-133.0,-270.0
25,25,28909,2021-07-20 02:15:00,1.1,4949.1690659625,218,17.3,97,926,2.3,-134.0,-270.0
26,26,28910,2021-07-20 02:30:00,1.1,4943.2606619111,207,17.3,97,926,2.1,-132.0,-270.0
27,27,28911,2021-07-20 02:45:00,1.1,4948.6207160841,195,17.4,97,926,1.8,-132.0,-270.0
28,28,28912,2021-07-20 03:00:00,1.2,4946.5103406252,185,17.4,97,926,1.8,-124.0,-270.0
29,29,28913,2021-07-20 03:15:00,1.2,4938.8518808706,180,17.3,97,926,2.5,-137.0,-270.0
30,30,28914,2021-07-20 03:30:00,1.3,4949.1301410913,180,17.2,98,926,1.9,-129.0,-270.0
31,31,28915,2021-07-20 03:45:00,1.3,4940.003292856,180,17.0,98,926,2.0,-136.0,-270.0
32,32,28916,2021-07-20 04:00:00,1.4,4939.0512006909,180,16.9,99,926,2.6,-136.0,-270.0
33,33,28917,2021-07-20 04:15:00,1.4,4950.006160085,180,16.8,99,926,2.7,-78.0,-270.0
34,34,28918,2021-07-20 04:30:00,1.5,4936.7224610616,176,16.8,99,926,2.5,-133.0,-225.0
35,35,28919,2021-07-20 04:45:00,1.5,4938.4114129024,169,16.9,99,926,2.2,-102.0,-225.0
36,36,28920,2021-07-20 05:00:00,1.6,4940.5671739729,166,16.9,99,926,1.7,-135.0,-225.0
37,37,28921,2021-07-20 05:15:00,1.8,4937.9998479667,161,17.1,99,926,3.2,970.0,405.0
38,38,28922,2021-07-20 05:30:00,2.1,4952.5094974839,157,17.4,99,926,2.7,-48.0,-180.0
39,39,28923,2021-07-20 05:45:00,2.2,4943.7262839438,156,17.7,98,926,3.4,525.0,495.0
40,40,28924,2021-07-20 06:00:00,2.5,4951.4269448598,153,18.0,98,926,2.9,218.0,-45.0
41,41,28925,2021-07-20 06:15:00,2.6,4941.9566143009,152,18.3,97,926,3.0,462.0,135.0
42,42,28926,2021-07-20 06:30:00,2.5,4949.8659277252,154,18.8,96,926,3.2,785.0,315.0
43,43,28927,2021-07-20 06:45:00,2.5,4943.438999492,154,19.3,95,927,3.4,764.0,360.0
44,44,28928,2021-07-20 07:00:00,2.5,4946.462297331,157,19.8,94,927,3.4,1026.0,900.0
45,45,28929,2021-07-20 07:15:00,2.5,4937.3450366462,157,20.3,92,927,3.5,1480.0,1170.0
46,46,28930,2021-07-20 07:30:00,2.5,4946.077214973,159,20.8,90,927,4.2,2503.0,2430.0
47,47,28931,2021-07-20 07:45:00,2.5,4939.3691952317,162,21.3,87,927,5.3,4697.0,4185.0
48,48,28932,2021-07-20 08:00:00,2.5,4950.0615434371,164,21.8,85,927,5.5,5122.0,5445.0
49,49,28933,2021-07-20 08:15:00,2.6,4939.2807151879,164,22.2,83,927,5.0,3805.0,4185.0
50,50,28934,2021-07-20 08:30:00,2.9,4939.5598496279,168,22.6,81,927,5.5,5406.0,5085.0
51,51,28935,2021-07-20 08:45:00,3.1,4946.7671948161,171,23.0,78,927,6.4,8406.0,7785.0
52,52,28936,2021-07-20 09:00:00,3.4,4941.1086506056,173,23.4,76,927,5.7,6356.0,7065.0
53,53,28937,2021-07-20 09:15:00,3.5,4948.9488450694,177,23.7,75,927,6.1,7470.0,7155.0
54,54,28938,2021-07-20 09:30:00,3.6,4950.4533969804,178,24.0,74,927,6.6,11033.0,10845.0
55,55,28939,2021-07-20 09:45:00,3.7,4951.1224777926,180,24.3,73,927,6.8,11711.0,11745.0
56,56,28940,2021-07-20 10:00:00,3.8,4954.7154408285,180,24.6,72,927,7.2,13603.0,13410.0
57,57,28941,2021-07-20 10:15:00,3.8,5195.0,183,24.8,72,927,7.3,15034.0,16110.0
58,58,28942,2021-07-20 10:30:00,3.9,5419.0,184,25.0,71,927,7.4,16735.0,15075.0
59,59,28943,2021-07-20 10:45:00,3.9,5644.0,186,25.2,70,927,7.1,14049.0,14670.0
60,60,28944,2021-07-20 11:00:00,4.0,5868.0,187,25.4,69,927,6.6,10372.0,11250.0
61,61,28945,2021-07-20 11:15:00,4.0,6079.0,187,25.6,69,927,6.8,10743.0,9360.0
62,62,28946,2021-07-20 11:30:00,3.9,6276.0,186,25.8,68,927,6.2,8588.0,7785.0
63,63,28947,2021-07-20 11:45:00,3.9,6473.0,183,25.9,68,927,5.6,5424.0,5580.0
64,64,28948,2021-07-20 12:00:00,3.8,6670.0,182,26.1,67,927,5.1,4524.0,4050.0
65,65,28949,2021-07-20 12:15:00,3.8,6928.0,180,26.2,67,927,4.9,3988.0,3915.0
66,66,28950,2021-07-20 12:30:00,3.9,7247.0,177,26.3,67,927,5.4,5343.0,5085.0
67,67,28951,2021-07-20 12:45:00,4.0,7566.0,176,26.4,66,927,5.3,4648.0,4230.0
68,68,28952,2021-07-20 13:00:00,4.1,7885.0,173,26.5,66,927,4.9,3507.0,3690.0
69,69,28953,2021-07-20 13:15:00,4.1,8076.0,172,26.5,66,927,4.9,4129.0,4230.0
70,70,28954,2021-07-20 13:30:00,4.1,8138.0,170,26.6,65,927,5.1,3717.0,2880.0
71,71,28955,2021-07-20 13:45:00,4.1,8199.0,169,26.7,65,927,5.6,5223.0,5445.0
72,72,28956,2021-07-20 14:00:00,4.0,8261.0,167,26.8,64,927,5.9,7006.0,6435.0
73,73,28957,2021-07-20 14:15:00,4.0,8324.0,167,26.8,64,927,6.0,7479.0,8235.0
74,74,28958,2021-07-20 14:30:00,4.0,8388.0,167,26.8,64,927,5.9,7460.0,7110.0
75,75,28959,2021-07-20 14:45:00,4.1,8453.0,166,26.9,63,926,5.9,6780.0,6480.0
76,76,28960,2021-07-20 15:00:00,4.1,8517.0,166,26.9,63,926,6.3,8765.0,8100.0
77,77,28961,2021-07-20 15:15:00,4.1,8499.0,166,26.9,63,926,6.2,8403.0,8820.0
78,78,28962,2021-07-20 15:30:00,4.0,8398.0,167,26.9,62,926,6.3,8205.0,8010.0
79,79,28963,2021-07-20 15:45:00,4.0,8297.0,168,27.0,62,926,6.6,9879.0,9720.0
80,80,28964,2021-07-20 16:00:00,3.9,8196.0,170,27.0,61,926,6.5,9531.0,9585.0
81,81,28965,2021-07-20 16:15:00,3.9,8138.0,170,27.0,61,926,6.8,11552.0,10125.0
82,82,28966,2021-07-20 16:30:00,3.7,8121.0,171,26.9,61,926,7.0,10786.0,10035.0
83,83,28967,2021-07-20 16:45:00,3.7,8104.0,172,26.9,61,926,7.1,12312.0,12330.0
84,84,28968,2021-07-20 17:00:00,3.6,8087.0,174,26.8,61,926,7.0,11873.0,11655.0
85,85,28969,2021-07-20 17:15:00,3.6,8079.0,175,26.8,61,926,7.1,11917.0,11700.0
86,86,28970,2021-07-20 17:30:00,3.6,8079.0,177,26.7,62,926,7.2,13417.0,12600.0
87,87,28971,2021-07-20 17:45:00,3.5,8078.0,178,26.6,62,926,6.7,10165.0,9945.0
88,88,28972,2021-07-20 18:00:00,3.5,8078.0,180,26.5,63,926,6.9,11590.0,11115.0
89,89,28973,2021-07-20 18:15:00,3.4,8022.0,180,26.2,65,926,7.6,14608.0,13500.0
90,90,28974,2021-07-20 18:30:00,3.3,7909.0,180,25.9,68,926,6.8,10390.0,9765.0
91,91,28975,2021-07-20 18:45:00,3.2,7796.0,182,25.6,71,926,6.4,9080.0,9315.0
92,92,28976,2021-07-20 19:00:00,3.1,7683.0,182,25.3,74,926,7.0,11709.0,11655.0
93,93,28977,2021-07-20 19:15:00,3.1,7525.0,180,24.8,76,926,6.7,10409.0,10665.0
94,94,28978,2021-07-20 19:30:00,3.4,7323.0,178,24.3,77,926,6.4,8792.0,8910.0
95,95,28979,2021-07-20 19:45:00,3.6,7122.0,174,23.7,78,926,6.5,9428.0,9405.0
96,96,28980,2021-07-20 20:00:00,3.9,6920.0,171,23.2,79,926,6.6,9901.0,9495.0
97,97,28981,2021-07-20 20:15:00,4.1,6824.0,170,22.8,81,926,7.0,12822.0,12375.0
98,98,28982,2021-07-20 20:30:00,4.2,6833.0,169,22.5,82,926,7.2,13696.0,13185.0
99,99,28983,2021-07-20 20:45:00,4.3,6842.0,168,22.2,83,927,7.9,18141.0,17550.0
100,100,28984,2021-07-20 21:00:00,4.4,6851.0,167,21.9,84,927,8.3,20357.0,19665.0
101,101,28985,2021-07-20 21:15:00,4.4,6951.0,167,21.8,84,927,8.7,23748.0,23400.0
102,102,28986,2021-07-20 21:30:00,4.3,7140.0,167,21.7,84,927,8.2,20357.0,20250.0
103,103,28987,2021-07-20 21:45:00,4.3,7330.0,165,21.6,85,927,8.8,25242.0,24075.0
104,104,28988,2021-07-20 22:00:00,4.2,7519.0,165,21.5,85,927,8.7,25617.0,25380.0
105,105,28989,2021-07-20 22:15:00,4.4,7657.0,164,21.4,85,927,8.3,22005.0,22320.0
106,106,28990,2021-07-20 22:30:00,4.5,7743.0,163,21.3,85,927,8.8,25901.0,24975.0
107,107,28991,2021-07-20 22:45:00,4.6,7829.0,162,21.2,86,927,8.5,23205.0,22500.0
108,108,28992,2021-07-20 23:00:00,4.7,7915.0,162,21.1,86,927,8.1,19621.0,18405.0
109,109,28993,2021-07-20 23:15:00,4.8,7965.0,162,21.1,86,927,8.2,20481.0,19890.0
110,110,28994,2021-07-20 23:30:00,4.9,7980.0,166,21.1,87,927,7.9,20451.0,20205.0
111,111,28995,2021-07-20 23:45:00,5.0,7995.0,170,21.1,87,926,8.1,18865.0,18855.0
112,112,28996,2021-07-21 00:00:00,7.1,12216.0,189,22.5,88,927,7.7,15877.0,14805.0
113,113,28997,2021-07-21 00:15:00,7.0,11792.0,189,22.4,88,927,7.5,16347.0,16290.0
114,114,28998,2021-07-21 00:30:00,6.7,11027.0,189,22.2,89,927,6.1,8028.0,8595.0
115,115,28999,2021-07-21 00:45:00,6.4,10262.0,189,22.1,89,927,7.8,13337.0,13860.0
116,116,29000,2021-07-21 01:00:00,6.1,9497.0,189,21.9,90,927,5.8,5251.0,4455.0
117,117,29001,2021-07-21 01:15:00,5.8,8955.0,188,21.8,90,927,2.8,115.0,-45.0
118,118,29002,2021-07-21 01:30:00,5.4,8636.0,186,21.9,90,927,2.0,-210.0,-270.0
119,119,29003,2021-07-21 01:45:00,5.1,8316.0,184,21.9,91,926,1.3,-143.0,-270.0
120,120,29004,2021-07-21 02:00:00,4.8,7997.0,182,22.0,91,926,0.9,-125.0,-270.0
121,121,29005,2021-07-21 02:15:00,4.7,7657.0,180,21.9,91,926,2.4,-166.0,-270.0
122,122,29006,2021-07-21 02:30:00,4.6,7298.0,178,21.6,92,926,4.3,955.0,360.0
123,123,29007,2021-07-21 02:45:00,4.6,6939.0,174,21.4,93,926,5.8,5390.0,5175.0
124,124,29008,2021-07-21 03:00:00,4.6,6580.0,170,21.1,94,926,4.5,2647.0,2385.0
125,125,29009,2021-07-21 03:15:00,4.6,6246.0,167,20.9,94,926,4.1,2405.0,1980.0
126,126,29010,2021-07-21 03:30:00,4.6,5937.0,166,20.8,95,926,4.8,4455.0,3735.0
127,127,29011,2021-07-21 03:45:00,4.6,5628.0,165,20.7,95,927,3.8,3254.0,3330.0
